Actual idiom,Literal Translation,English Pronounciation,English_Translation,Human Annotation & With descriptions,Image_ID
ฟันไม่เลี้ยง,,,Teeth not growing,"The Thai proverb 'ฟันไม่เลี้ยง' translates to 'unrestrained biting' or 'biting without holding back' in English. It describes a situation where someone attacks or criticizes another person harshly and without mercy. The imagery for this proverb could include a fierce animal or person biting aggressively, symbolizing the relentless and unforgiving nature of the attack.",2166.png
ฟางเส้นสุดท้าย,,,The last straw,"The proverb ""ฟางเส้นสุดท้าย"" translates to ""the last straw"" in English. It refers to a final, small burden or minor issue that causes a person to lose their patience or composure after enduring a series of difficulties. The imagery often associated with this proverb is that of a camel being overloaded with straw, where the addition of one final straw causes the camel to collapse. This symbolizes the breaking point of someone's tolerance or endurance.",2167.png
ฟาดงวงฟาดงา,,,Thrashing the trunk and tusks,"The Thai proverb 'ฟาดงวงฟาดงา' (pronounced ""faad nguang faad nga"") translates to ""thrashing about with trunk and tusks."" It describes a situation where someone is reacting violently or aggressively, often out of anger or frustration, much like an elephant thrashing its trunk and tusks when agitated. The imagery conveys a sense of uncontrolled, destructive behavior.",2168.png
ฟาดหัวฟาดหาง,,,Head and tail strike,"The Thai proverb 'ฟาดหัวฟาดหาง' (fâat hŭa fâat hăang) translates to ""thrashing head and tail"" in English. It describes a situation where someone is causing chaos or trouble in all directions, much like a fish thrashing about wildly. This imagery can be used to depict someone who is being disruptive, aggressive, or uncontrollably angry, affecting everyone around them.",2169.png
ฟ้าไม่กระเทือนสันหลัง,,,The sky does not shake the spine,"The Thai proverb ""ฟ้าไม่กระเทือนสันหลัง"" translates to ""The sky does not shake the backbone."" It means that significant events or changes in the world do not necessarily affect one's core or inner strength. For an image, you might depict a serene sky above a person standing firmly, symbolizing resilience and stability despite external changes.",2170.png
ฟ้าสูงแผ่นดินต่ำ,,,"The sky is high, the land is low","The Thai proverb ""ฟ้าสูงแผ่นดินต่ำ"" translates to ""The sky is high, the earth is low."" This proverb emphasizes the natural order and hierarchy in life, suggesting that everyone has their place and should respect the established order. In a visual representation, you might depict a vast, high sky above a solid, grounded earth, symbolizing the clear distinction and respect for different levels or roles in society.",2171.png
ฟิวส์ขาด,,,Fuse blown,"The Thai proverb ""ฟิวส์ขาด"" (fuse khat) translates to ""blown fuse"" in English. It is used to describe someone who has lost their temper or patience, similar to how an electrical fuse blows when overloaded. The imagery for this proverb could include a person with an exaggeratedly angry expression, possibly with steam coming out of their ears, symbolizing the sudden and intense loss of control.",2172.png
ไฟจุกตูด,,,Fire in the ass,"The Thai proverb ""ไฟจุกตูด"" translates to ""fire under the buttocks"" in English. It describes a situation where someone is under intense pressure or urgency, often causing them to act quickly or frantically. The imagery suggests a person who is compelled to move rapidly as if their seat is on fire, highlighting the sense of immediate and unavoidable action.",2173.png
ไฟลนก้น,,,Fire on the bottom,"The Thai proverb ""ไฟลนก้น"" translates to ""fire under the bottom"" in English. It describes a situation where someone is under intense pressure or urgency to complete a task, often due to procrastination or an impending deadline. The imagery suggests a person sitting on a fire, prompting them to move quickly and take immediate action.",2174.png
ไฟลามทุ่ง,,,erysipelas,"The Thai proverb ""ไฟลามทุ่ง"" translates to ""a wildfire spreading through a field."" It describes a situation that escalates rapidly and uncontrollably, much like a fire spreading through dry grass. For an image, you might depict a vast field of dry grass with flames quickly spreading across it, symbolizing the rapid and uncontrollable nature of the situation.",2175.png
ไฟสุมขอน,,,Fire on the log,"The Thai proverb ""ไฟสุมขอน"" (pronounced ""fai soom khon"") translates to ""fire smoldering under the ashes"" in English. It describes a situation where underlying tension or unresolved issues are present but not immediately visible. The image to represent this proverb could depict a pile of ashes with faint, glowing embers underneath, symbolizing hidden or suppressed problems that have the potential to flare up if not addressed.",2176.png
ไฟไหม้ฟาง,,,Straw fire,"The Thai proverb ""ไฟไหม้ฟาง"" translates to ""fire burning straw"" in English. It describes a situation that flares up quickly and intensely but also dies down just as rapidly. This can be used to depict sudden, short-lived conflicts, emotions, or events that are intense but fleeting. For an image, you might visualize a bright, quick-burning fire consuming a pile of straw, with flames leaping high but quickly diminishing to embers.",2177.png
มดแดงเฝ้ามะม่วง,,,Red ants guarding mangoes,"The Thai proverb ""มดแดงเฝ้ามะม่วง"" translates to ""Red ants guarding the mango."" This proverb is used to describe a situation where someone is closely guarding or protecting something valuable, often to the point of being overly protective or possessive. In a visual representation, you might depict a mango tree with ripe mangoes, and red ants surrounding or climbing on the mangoes, appearing vigilant and protective.",2178.png
มดแดงแฝงพวงมะม่วง,,,Red ants hiding in mango bunches,"The Thai proverb 'มดแดงแฝงพวงมะม่วง' translates to 'red ants hiding in a bunch of mangoes.' This proverb is used to describe a situation where there is a hidden danger or problem lurking within something that appears attractive or desirable. The imagery involves red ants, which can bite and cause pain, concealed within a cluster of ripe, appealing mangoes. The overall message is to be cautious and aware that something seemingly good may have underlying issues.",2179.png
มะกอกสามตะกร้าปาไม่ถูก,,,Three baskets of olives are thrown and not hit.,"The Thai proverb ""มะกอกสามตะกร้าปาไม่ถูก"" translates to ""Three baskets of olives, yet you can't hit the target."" It describes a situation where someone has ample resources or opportunities but still fails to achieve their goal due to lack of skill, precision, or focus. The imagery involves a person attempting to throw olives from three baskets but missing the intended target, symbolizing inefficiency or ineffectiveness despite having plenty of chances.",2180.png
มะนาวกลมเกลี้ยงไม่มีใครกลึง,,,The lemons are perfectly round and no one has turned them.,"The Thai proverb ""มะนาวกลมเกลี้ยงไม่มีใครกลึง"" translates to ""A smooth, round lime has not been polished by anyone."" It means that natural beauty or talent does not require external enhancement or intervention. The image to represent this proverb could feature a perfectly round and smooth lime, untouched and unpolished, symbolizing inherent perfection and the idea that some things are best left in their natural state.",2181.png
มะพร้าวตื่นดก,,,Coconut trees are in full bloom,"The Thai proverb ""มะพร้าวตื่นดก"" (pronounced ""ma-phrao tuen dok"") translates to ""the coconut tree that wakes up early bears abundant fruit."" This proverb suggests that those who start their work or efforts early are more likely to achieve success and reap greater rewards. It emphasizes the value of diligence, early action, and proactive behavior in achieving fruitful outcomes. 
 
 For an image representation, you might visualize a lush coconut tree with an abundance of coconuts, bathed in the early morning light, symbolizing the rewards of early and diligent effort.",2182.png
มะพร้าวตื่นดก ยาจกตื่นมี,,,"Coconuts are waking up in abundance, beggars are waking up in abundance","The Thai proverb ""มะพร้าวตื่นดก ยาจกตื่นมี"" translates to ""The coconut tree wakes up fruitful, the beggar wakes up wealthy."" This proverb suggests that unexpected good fortune can come to anyone, regardless of their current situation. It emphasizes the unpredictability of life and how fortunes can change overnight. 
 
 For an image based on this proverb, you might depict a scene where a previously barren coconut tree is suddenly laden with fruit, and a beggar wakes up to find himself surrounded by wealth or valuable items. The image should convey a sense of surprise and transformation, highlighting the sudden shift from scarcity to abundance.",2183.png
มัดมือชก,,,Tied hands,"The Thai proverb 'มัดมือชก' translates to ""tying someone's hands and then punching them."" It describes a situation where someone is put at a disadvantage or forced into a position where they cannot defend themselves, often due to unfair or manipulative tactics. The imagery involves a person with their hands bound, unable to protect themselves, while another person takes advantage of their helplessness.",2184.png
มากขี้ควายหลายขี้ช้าง,,,A lot of cow dung and elephant dung,"The Thai proverb ""มากขี้ควายหลายขี้ช้าง"" translates to ""many buffalo droppings, many elephant droppings"" in English. It means that when there are many people involved in something, there will be a lot of problems or complications. The imagery of buffalo and elephant droppings emphasizes the messiness and scale of the issues that can arise.",2185.png
มากหมอมากความ,,,"Too many doctors, too many opinions","The Thai proverb ""มากหมอมากความ"" translates to ""many doctors, many opinions"" in English. It suggests that when too many people are involved in solving a problem, especially experts or advisors, it can lead to confusion and conflicting advice rather than a clear solution. An image representing this proverb might depict a group of doctors or advisors surrounding a single patient or problem, each offering different suggestions, creating a sense of chaos or indecision.",2186.png
มาดแมนแฮนด์ซั่ม,,,Madman Handsome,"The Thai proverb ""มาดแมนแฮนด์ซั่ม"" translates to ""a manly and handsome appearance"" in English. It describes someone who is not only physically attractive but also exudes a strong, confident, and masculine demeanor. This person is often seen as charming and appealing, embodying both good looks and a commanding presence.",2187.png
ม้าดีดกะโหลก,,,impolite girl,"The Thai proverb ""ม้าดีดกะโหลก"" (pronounced ""Maa Deed Ka-Lok"") translates to ""a horse kicking a skull."" It is used to describe someone who is reckless, thoughtless, or behaves in a wild and uncontrollable manner, often causing trouble or harm without considering the consequences. The imagery of a horse kicking a skull emphasizes the danger and lack of foresight in such behavior.",2188.png
มารคอหอย,,,Mark the throat,"The Thai proverb 'มารคอหอย' (Maan Kor Hoi) translates to ""a demon at the throat."" It describes a situation where someone is in a critical or life-threatening predicament, often due to a dangerous or malevolent force. The imagery suggests a person being choked or strangled by a demon, symbolizing extreme peril or distress.",2189.png
มาเหนือเมฆ,,,Come above the clouds,"The Thai proverb ""มาเหนือเมฆ"" translates to ""coming above the clouds"" in English. It describes someone who is exceptionally skilled, clever, or has an extraordinary ability that surpasses others. The imagery suggests a person who rises above challenges and stands out due to their superior talents or intelligence. For an image, you might depict a figure soaring high above the clouds, symbolizing their elevated status and exceptional capabilities.",2190.png
มีตาแต่หามีแววไม่,,,Has eyes but no vision,"The Thai proverb ""มีตาแต่หามีแววไม่"" translates to ""Having eyes but no sparkle"" in English. It describes someone who has the physical ability to see but lacks insight, perception, or understanding. The imagery could involve a person with open eyes that appear dull or lifeless, symbolizing a lack of awareness or comprehension.",2191.png
มีทองเท่าหนวดกุ้ง นอนสะดุ้งจนเรือนไหว,,,There is gold as big as a shrimp's whisker. I slept so startled that the house shook.,"The Thai proverb ""มีทองเท่าหนวดกุ้ง นอนสะดุ้งจนเรือนไหว"" translates to ""Having gold as small as a shrimp's mustache makes one restless enough to shake the house."" It means that even a small amount of wealth can cause a person to be anxious or worried, fearing its loss or theft. The imagery involves a person lying in bed, unable to sleep peacefully, with the slightest possession of gold causing significant distress.",2192.png
มีเฟื้องมีสลึง,,,There are 100 baht and 100 salung.,"The Thai proverb ""มีเฟื้องมีสลึง"" translates to ""Having a small amount of money"" in English. It emphasizes the importance of even small amounts of money, suggesting that every little bit counts and can add up over time. For an image representation, you might consider depicting a small pile of coins, symbolizing the accumulation of wealth through saving even the smallest amounts.",2193.png
มีภาษีกว่า,,,gainful,"The Thai proverb ""มีภาษีกว่า"" translates to ""having more tax"" in English, but its figurative meaning is closer to ""having an advantage"" or ""being in a better position."" It suggests that someone has a superior status, more resources, or a better opportunity compared to others. 
 
 For an image based on this proverb, you might depict two individuals or groups in a competitive scenario where one clearly has an edge over the other. For example, one person might be standing on a higher platform or holding a tool that gives them an advantage, symbolizing their superior position or resources.",2194.png
มีเมียสาวอย่าเชื่อแม่ยาย,,,"If you have a young wife, don't trust your mother-in-law.","The Thai proverb ""มีเมียสาวอย่าเชื่อแม่ยาย"" translates to ""If you have a young wife, don't trust your mother-in-law."" This proverb suggests that a man should be cautious about taking advice from his mother-in-law regarding his young wife, as her intentions may not always be in his best interest. The imagery for this proverb could include a young couple with the husband looking wary or skeptical, while an older woman (the mother-in-law) appears to be giving advice or whispering something to the husband.",2195.png
มีสลึงพึงบรรจบให้ครบบาท,,,"If you have a salung, you should add it up to make a baht.","The Thai proverb ""มีสลึงพึงบรรจบให้ครบบาท"" translates to ""Save every penny to make a baht."" It emphasizes the importance of saving small amounts of money consistently, as they will eventually accumulate into a larger sum. The imagery for this proverb could include a person carefully placing coins into a piggy bank or a jar, symbolizing the gradual accumulation of wealth through diligent saving.",2196.png
มืดแปดด้าน,,,see no way out,"The Thai proverb ""มืดแปดด้าน"" translates to ""dark in eight directions"" in English. It describes a situation where someone is completely confused or at a loss, with no clear solution or way out. Imagine a person standing in the center of a dark, featureless space, surrounded by darkness in all directions, unable to see any path forward. This visual captures the essence of feeling utterly perplexed and without guidance.",2197.png
มือถือสาก ปากถือศีล,,,"A pestle in one hand, a precept in the mouth","The Thai proverb ""มือถือสาก ปากถือศีล"" translates to ""Holding a pestle in the hand, but speaking of morality."" It describes someone who outwardly appears virtuous or moral, but whose actions contradict their words. The image could depict a person holding a pestle (a tool used for grinding) in one hand, symbolizing their true, perhaps less virtuous actions, while their mouth or speech bubble shows them speaking about moral or ethical principles. This juxtaposition highlights the hypocrisy between their actions and their words.",2198.png
มือที่สาม,,,third party,"The Thai proverb ""มือที่สาม"" translates to ""the third hand"" in English. It refers to an outside party who interferes in a situation, often causing complications or problems. This could be someone who meddles in a relationship, business, or any other scenario where their involvement is unwelcome or disruptive. 
 
 For an image based on this proverb, you might depict two people engaged in an activity or conversation, with a third person intrusively inserting their hand or presence into the scene, symbolizing unwanted interference.",2199.png
มือเป็นระวิง,,,Hands are in a state of confusion,"The Thai proverb ""มือเป็นระวิง"" translates to ""hands are busy"" in English. It describes a situation where someone is extremely busy, often multitasking or handling many tasks at once. The imagery typically involves a person with multiple hands or arms, each engaged in different activities, symbolizing their hectic and bustling state.",2200.png
มือเปื้อนเลือด,,,Blood-stained hands,"The Thai proverb ""มือเปื้อนเลือด"" translates to ""hands stained with blood"" in English. It is used to describe someone who is guilty of committing a serious crime, often involving violence or murder. The imagery suggests that the person's hands are literally or figuratively covered in blood, symbolizing their culpability and the severity of their actions.",2201.png
มือไม่ถึง,,,Not enough hands,"The Thai proverb ""มือไม่ถึง"" translates to ""hands not reaching"" in English. It is used to describe someone who lacks the skill, ability, or competence to accomplish a particular task or goal. The imagery for this proverb could involve a person trying to reach for something high up or complex but failing to grasp it, symbolizing their insufficient capability.",2202.png
มือไม่พาย เอาตีนราน้ำ,,,No hands to help but kick the water.,"The Thai proverb ""มือไม่พาย เอาตีนราน้ำ"" translates to ""Not rowing with your hands, but splashing water with your feet."" It describes a situation where someone is not contributing to the effort or work but is instead causing trouble or hindrance. In an image, this could be depicted as a person sitting in a boat, not using the oars to row, but instead splashing water with their feet, creating chaos and making it harder for others to move forward.",2203.png
มือไม่พาย เอาเท้าราน้ำ,,,"No hands helping, but kicking the water with your feet","The Thai proverb ""มือไม่พาย เอาเท้าราน้ำ"" translates to ""Not rowing with your hands, but disturbing the water with your feet."" It describes a situation where someone is not helping with the task at hand but is instead causing trouble or making things more difficult for those who are working. An image to represent this proverb could show a person sitting in a boat, not using the oars to row, but instead splashing the water with their feet, creating ripples and disturbances.",2204.png
มือสะอาด,,,honorable,"The Thai proverb ""มือสะอาด"" translates to ""clean hands"" in English. It symbolizes honesty, integrity, and moral uprightness. The imagery associated with this proverb would typically involve a person with visibly clean hands, possibly in a gesture of openness or transparency, signifying that they have nothing to hide and have conducted themselves in an ethical manner.",2205.png
มือสั้นตีนสั้น,,,Short hands and short feet,"The Thai proverb ""มือสั้นตีนสั้น"" translates to ""short hands, short feet"" in English. It metaphorically describes someone who lacks the means or resources to achieve their goals or to help others. The imagery suggests limitations or constraints, much like having short limbs would limit one's physical reach and mobility.",2206.png
มือห่างตีนห่าง,,,"Hands far apart, feet far apart","The Thai proverb ""มือห่างตีนห่าง"" translates to ""hands far, feet far"" in English. It describes a situation where someone is keeping a safe distance from trouble or avoiding involvement in a problematic situation. The imagery suggests a person physically distancing themselves to avoid getting entangled in issues or conflicts.",2207.png
เมื่อพีเนื้อหอม เมื่อผอมเนื้อเหม็น,,,"When the flesh is fragrant, when the flesh is thin, the flesh smells bad.","The Thai proverb ""เมื่อพีเนื้อหอม เมื่อผอมเนื้อเหม็น"" translates to ""When you are fat, your flesh smells sweet; when you are thin, your flesh smells bad."" This proverb suggests that people are often treated better or more favorably when they are prosperous or in good condition, but when they are not, they are disregarded or treated poorly. It highlights the superficial nature of societal judgments based on appearances or circumstances. 
 
 For an image representation, you might depict two contrasting scenes: one of a well-dressed, prosperous person being warmly welcomed and admired, and another of a thin, poorly dressed person being ignored or shunned by others.",2208.png
เมื่อเอยเมื่อนั้น,,,When said then,"The Thai proverb ""เมื่อเอยเมื่อนั้น"" translates to ""When the time comes, it will happen."" This proverb conveys the idea that events will unfold in their own time and cannot be rushed. It emphasizes patience and the natural progression of things. An image representing this proverb might include elements of nature, such as a blooming flower or a sunrise, symbolizing the inevitability and timing of life's events.",2209.png
แม่กระชังหน้าใหญ่,,,Big-faced mother fish cage,"The Thai proverb ""แม่กระชังหน้าใหญ่"" translates to ""The mother fish trap has a big mouth."" It metaphorically describes someone who talks a lot or is very outspoken. The imagery involves a fish trap with a large opening, suggesting that just as the trap catches many fish, a person with a ""big mouth"" catches or spreads many words. For an image, you might depict a large fish trap with an exaggeratedly wide opening, possibly with fish swimming towards it, symbolizing the abundance of words or chatter.",2210.png
แม่รีแม่แรด,,,busy woman,"The Thai proverb ""แม่รีแม่แรด"" translates to ""Mother deer, mother rhinoceros"" in English. It is used to describe someone who is very cunning and deceitful, often in a way that is difficult to detect. The imagery of a deer and a rhinoceros together suggests a combination of subtlety and brute force, indicating that the person can be both sly and aggressive when needed. This proverb is often used to caution against trusting appearances, as someone who seems gentle and harmless (like a deer) may also have a hidden, more forceful side (like a rhinoceros).",2211.png
แมลงวันไม่ตอมแมลงวัน,,,Flies don't bite flies.,"The Thai proverb ""แมลงวันไม่ตอมแมลงวัน"" translates to ""Flies do not swarm around other flies."" This proverb suggests that people of similar negative traits or low status do not criticize or bother each other. It implies that criticism or trouble often comes from those who see themselves as superior or different. 
 
 For an image based on this proverb, you might depict a scene where flies are avoiding each other, perhaps hovering around something else instead, to symbolize the idea that they do not bother their own kind.",2212.png
แมวไม่อยู่หนูร่าเริง,,,"When the cat is away, the mice will play.","The Thai proverb ""แมวไม่อยู่หนูร่าเริง"" translates to ""When the cat's away, the mice will play"" in English. This proverb means that people will take advantage of the absence of authority or supervision to do as they please, often engaging in behavior they wouldn't normally do if they were being watched. 
 
 For an image based on this proverb, you might depict a scene where a group of mice are having fun, playing, or causing mischief in a house or a field, while a cat is noticeably absent. The atmosphere should convey a sense of freedom and enjoyment among the mice.",2213.png
แม่สายบัวแต่งตัวค้าง,,,Mae Sai Bua dresses up overnight,"Certainly! The Thai proverb ""แม่สายบัวแต่งตัวค้าง"" translates to ""Mae Sai Bua is half-dressed."" It describes someone who is caught in the middle of getting ready or preparing for something, often implying a sense of being unprepared or incomplete. For an image representation, you might visualize a person who is partially dressed, perhaps with one shoe on and the other off, or with their hair half-styled, indicating a state of incompletion or haste.",2214.png
แม่หญิงแม่หญัง แม่กระชังหน้าใหญ่,,,"Mae Ying Mae Ying, the big-faced fish trap mother","The Thai proverb ""แม่หญิงแม่หญัง แม่กระชังหน้าใหญ่"" translates to ""A woman with a big face is like a fish trap with a wide mouth."" This proverb is used to describe a woman who is talkative or gossipy, implying that she speaks a lot and often spreads information, much like a fish trap that catches many fish with its wide opening. The imagery involves a woman with a large face, symbolizing her propensity to talk, and a fish trap, representing the act of catching or spreading information.",2215.png
ไม้กันหมา,,,Dog deterrent,"The Thai proverb ""ไม้กันหมา"" translates to ""a stick to ward off dogs."" It metaphorically refers to something or someone used as a temporary solution or a means to deal with a problem, often in a makeshift or superficial manner. In an image, this could be depicted as a person holding a stick to fend off an approaching dog, symbolizing the act of using a simple tool to address an immediate issue.",2216.png
ไม่กินเส้น,,,No noodles,"The Thai proverb ""ไม่กินเส้น"" translates to ""not eating noodles"" in English. However, its figurative meaning is ""not getting along"" or ""having a conflict."" To generate an image based on this proverb, you could depict two people or characters who are visibly in disagreement or avoiding each other, with a symbolic representation of noodles (such as a bowl of noodles) placed between them to emphasize the literal translation. The overall scene should convey a sense of discord or lack of harmony.",2217.png
ไม่กี่อัฐ,,,A few cents,"The Thai proverb ""ไม่กี่อัฐ"" translates to ""not worth a few coins"" in English. It is used to describe something that is considered to have very little value or importance. For an image representation, you might depict a small number of old, worn-out coins, possibly scattered or in a neglected state, to convey the idea of insignificance or minimal worth.",2218.png
ไม่กี่อัฐฬส,,,A few atlases,"The Thai proverb 'ไม่กี่อัฐฬส' translates to ""not worth a few cents"" in English. It is used to describe something that is considered to have very little value or importance. The imagery for this proverb could include small coins or a negligible amount of money, symbolizing the insignificance of the subject in question.",2219.png
ไม้ใกล้ฝั่ง,,,old man,"The Thai proverb ""ไม้ใกล้ฝั่ง"" translates to ""a tree near the riverbank"" in English. It metaphorically describes someone who is nearing the end of their life, similar to how a tree close to the riverbank is more likely to fall into the water due to erosion. The imagery often evokes a sense of aging or the final stages of life, suggesting vulnerability and the natural progression towards an inevitable end.",2220.png
ไม่เข้ายา,,,Not taking medicine,"The Thai proverb 'ไม่เข้ายา' translates to ""doesn't fit the medicine"" in English. It is used to describe a situation where something is not suitable or appropriate for a particular purpose or context. For example, it can refer to a solution that doesn't solve the problem or a person who is not suitable for a specific role. The imagery could involve a mismatched puzzle piece or a key that doesn't fit a lock, symbolizing the lack of compatibility or appropriateness.",2221.png
ไม้งามกระรอกเจาะ,,,Squirrel drills a beautiful tree,"The Thai proverb ""ไม้งามกระรอกเจาะ"" translates to ""A beautiful tree is bored by a squirrel."" It conveys the idea that even something or someone that appears perfect or beautiful can have hidden flaws or be subject to problems. For an image based on this proverb, you might depict a lush, beautiful tree with a small squirrel boring a hole into it, symbolizing the hidden imperfections or challenges that can affect even the most seemingly perfect things.",2222.png
ไม้จิ้มฟันยันเรือรบ,,,Toothpicks to battleships,"The Thai proverb ""ไม้จิ้มฟันยันเรือรบ"" translates to ""Using a toothpick to support a battleship."" It describes a situation where someone is attempting to achieve something overwhelmingly difficult or impossible with inadequate resources or means. The imagery suggests the absurdity and futility of trying to hold up a massive battleship with something as small and fragile as a toothpick.",2223.png
ไม่ใช่ขี้ไก่,,,It's not chicken shit.,"The Thai proverb ""ไม่ใช่ขี้ไก่"" translates to ""not chicken droppings"" in English. It means that something is not trivial or insignificant; it is important or valuable. To generate an image based on this proverb, you might depict a scene where something small and seemingly unimportant (like chicken droppings) is contrasted with something of great value or significance, highlighting the importance of the latter.",2224.png
ไม่ดูดำดูดี,,,Don't look at the black and white,"The Thai proverb ""ไม่ดูดำดูดี"" translates to ""not caring whether someone is black or white"" in English. It means to treat someone with indifference or neglect, without considering their well-being or circumstances. An image representing this proverb could depict a person ignoring or turning away from another person who is in need or seeking attention, symbolizing the lack of care or concern.",2225.png
ไม่ดูดำดูแดง,,,Don't look at black or red.,"The Thai proverb 'ไม่ดูดำดูแดง' translates to ""not considering black or red."" It means to act without discrimination or prejudice, treating everyone equally regardless of their background or appearance. An image representing this proverb could depict people of various races and backgrounds being treated the same way, perhaps in a setting where fairness and equality are emphasized.",2226.png
ไม่เต็ม,,,Not full,"The Thai proverb ""ไม่เต็ม"" translates to ""not full"" in English. It is often used to describe someone who is perceived as not being fully competent, intelligent, or sane. The imagery associated with this proverb might include a container that is only partially filled, symbolizing incompleteness or deficiency.",2227.png
ไม่เต็มเต็ง,,,potty,"The Thai proverb 'ไม่เต็มเต็ง' translates to ""not full tank"" in English. It is used to describe someone who is not very smart or is a bit foolish. For an image representation, you might consider depicting a fuel gauge that is not full, or a person with a puzzled or confused expression, perhaps with a thought bubble showing an incomplete or missing piece of a puzzle.",2228.png
ไม่เต็มหุน,,,Not full,"The Thai proverb ""ไม่เต็มหุน"" translates to ""not a full measure"" in English. It is used to describe someone or something that is incomplete or lacking in some way, often implying that a person is not fully competent or that an effort is insufficient. For an image representation, you might depict a measuring cup that is not filled to the top, symbolizing the idea of something being less than whole or not entirely adequate.",2229.png
ไม้นอกกอ,,,Outside the clump,"The Thai proverb ""ไม้นอกกอ"" translates to ""a tree outside the clump."" It refers to someone or something that is different from the rest of the group, often implying that this difference is noticeable and significant. The imagery suggests a tree that stands apart from a cluster, symbolizing individuality or nonconformity. To generate an image based on this proverb, you might depict a single tree standing alone, distinct from a nearby group of trees clustered together.",2230.png
ไม้เบื่อไม้เมา,,,The wood is at odds with the wood.,"The Thai proverb ""ไม้เบื่อไม้เมา"" translates to ""wood that is tired of other wood"" in English. It describes a relationship where two people are constantly in conflict or disagreement, yet they remain together and cannot be separated. The imagery for this proverb could depict two pieces of wood that are intertwined or bound together, symbolizing their inseparable yet contentious relationship.",2231.png
ไม้ป่าเดียวกัน,,,Wood from the same forest,"The Thai proverb ""ไม้ป่าเดียวกัน"" translates to ""trees of the same forest"" in English. It is used to describe people who share similar characteristics, behaviors, or backgrounds, often implying that they are alike in some fundamental way. The imagery for this proverb could include a dense forest with various trees that, despite their differences, belong to the same ecosystem, symbolizing unity and similarity among individuals.",2232.png
ไม่เป็นสับปะรด,,,Not a pineapple,"The Thai proverb ""ไม่เป็นสับปะรด"" translates to ""not a pineapple"" in English. It is used to describe something that is not up to standard or not good enough. The imagery for this proverb could include a pineapple that appears unripe, damaged, or otherwise unappealing, symbolizing something that fails to meet expectations or standards.",2233.png
ไม่เผาผี,,,No cremation,"The Thai proverb ""ไม่เผาผี"" translates to ""not burning the ghost"" in English. It describes a situation where two people have such a deep-seated animosity towards each other that they wouldn't even perform the customary funeral rites for one another. This proverb is often used to illustrate extreme enmity or irreconcilable differences between individuals. 
 
 For an image representation, you might depict two people standing back-to-back with angry expressions, surrounded by a ghostly figure that is ignored or left unattended, symbolizing their refusal to reconcile even in death.",2234.png
ไม่พูดพร่ำทำเพลง,,,Without further ado,"The Thai proverb ""ไม่พูดพร่ำทำเพลง"" translates to ""Don't talk unnecessarily, just do it."" It emphasizes the value of action over excessive talking or unnecessary elaboration. The imagery for this proverb could depict a person who is focused and diligently working on a task, while others around them might be engaged in idle chatter. The scene would highlight the contrast between productive action and pointless conversation.",2235.png
ไม่มีปี่มีกลอง,,,No flutes or drums,"The Thai proverb ""ไม่มีปี่มีกลอง"" translates to ""No flute, but there are drums."" It describes a situation where something happens unexpectedly or without prior warning. The imagery for this proverb could include a scene where people are surprised or caught off guard, perhaps with a drum being played loudly while a flute is conspicuously absent, symbolizing the unexpected nature of the event.",2236.png
ไม่มีปี่มีขลุ่ย,,,No flute or flute,"The Thai proverb ""ไม่มีปี่มีขลุ่ย"" translates to ""without a flute or a pipe"" in English. It means something happening unexpectedly or without any prior warning or indication. To visualize this proverb, you might imagine a scene where an event or action occurs suddenly, catching everyone off guard, with no musical instruments (like a flute or pipe) to signal its arrival.",2237.png
ไม่มีมูลฝอยหมาไม่ขี้,,,"No dog poop, no dog shit.","The Thai proverb ""ไม่มีมูลฝอยหมาไม่ขี้"" translates to ""If there is no trash, the dog won't poop."" It means that rumors or accusations usually have some basis in truth. For an image representation, you might depict a scene with a dog near a trash pile, suggesting that the presence of trash (or evidence) leads to the dog's action (or the emergence of rumors).",2238.png
ไม่มีอะไรในกอไผ่,,,There is nothing in the bamboo grove.,"The Thai proverb ""ไม่มีอะไรในกอไผ่"" translates to ""There is nothing in the bamboo clump."" It means that there is no hidden agenda or secret behind a situation; everything is as it appears. For an image representation, you could depict a serene bamboo grove with clear visibility through the stalks, emphasizing transparency and the absence of hidden elements.",2239.png
ไม่ยอมลดราวาศอก,,,Refuse to compromise,"The Thai proverb ""ไม่ยอมลดราวาศอก"" translates to ""not willing to give an inch"" in English. It describes a situation where someone is very stubborn or unyielding, refusing to compromise or back down from their position. 
 
 For an image representation, you might depict two people standing firmly on either side of a line, each refusing to step back or give way, symbolizing their steadfastness and determination not to concede any ground.",2240.png
ไม่รู้จักเสือเอาเรือเข้ามาจอด ไม่รู้จักมอดเอาไม้เข้ามาขวาง,,,"Not knowing the tiger, bring a boat to park. Not knowing the termite, bring a stick to block.","This Thai proverb translates to ""Not knowing the tiger, you dock your boat; not knowing the termite, you block with wood."" It means that acting without understanding the true nature of a situation or the potential dangers involved can lead to trouble. The imagery involves a boat docking near a tiger, unaware of the danger, and using wood to block termites, which will only attract them more.",2241.png
ไม่รู้จักหัวนอนปลายตีน,,,Not knowing where one's head and foot are,"The Thai proverb 'ไม่รู้จักหัวนอนปลายตีน' translates to ""not knowing the head from the feet."" It means being unfamiliar with someone or something, lacking knowledge about their background or origins. For an image, you might depict a person looking confused or puzzled, with a blurred or ambiguous figure in the background to symbolize the unknown or unfamiliar entity.",2242.png
